Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Frank Darabont,USA,14 October 1994,The Shawshank Redemption,9.3,"Tim Robbins,Morgan Freeman,Bob Gunton"
Olivier Nakache,Net,22 March 2012,The Intouchables,8.5,"François Cluzet,Omar Sy,Anne Le Ny"
Roman Polanski,USA,28 March 2003,The Pianist,8.5,"Adrien Brody,Thomas Kretschmann,Frank Finlay"
Quentin Tarantino,USA,25 December 2012,Django Unchained,8.4,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio"
Ridley Scott,USA,22 June 1979,Alien,8.4,"Sigourney Weaver,Tom Skerritt,John Hurt"
Stanley Kubrick,USA,29 January 1964,Dr. Strangelove,8.4,"Peter Sellers,George C. Scott,Sterling Hayden"
Hayao Miyazaki,USA,28 March 2003,Spirited Away,8.6,"Daveigh Chase,Suzanne Pleshette,Miyu Irino"
Charles Chaplin,USA,25 February 1936,Modern Times,8.5,"Charles Chaplin,Paulette Goddard,Henry Bergman"
Steven Spielberg,USA,24 July 1998,Saving Private Ryan,8.6,"Tom Hanks,Matt Damon,Tom Sizemore"
Jonathan Demme,USA,14 February 1991,The Silence of the Lambs,8.6,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney"
Sergio Leone,USA,4 July 1969,Once Upon a Time in the West,8.5,"Henry Fonda,Charles Bronson,Claudia Cardinale"
Steven Spielberg,USA,4 February 1994,Schindler's List,8.9,"Liam Neeson,Ralph Fiennes,Ben Kingsley"
James McTeigue,USA,17 March 2006,V for Vendetta,8.2,"Hugo Weaving,Natalie Portman,Rupert Graves"
Charles Chaplin,USA,7 March 1931,City Lights,8.5,"Charles Chaplin,Virginia Cherrill,Florence Lee"
Çagan Irmak,Tur,18 November 2005,My Father and My Son,8.3,"Çetin Tekindor,Fikret Kuskan,Hümeyra"
Michel Gondry,USA,19 March 2004,Eternal Sunshine of the Spotless Mind,8.3,"Jim Carrey,Kate Winslet,Tom Wilkinson"
Quentin Tarantino,Net,5 August 1993,Reservoir Dogs,8.3,"Harvey Keitel,Tim Roth,Michael Madsen"
Hayao Miyazaki,USA,19 December 1997,Princess Mononoke,8.4,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka"
